param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_18_pop_4,1466.00,1.001
q_ind_19_pop_4,1692.69,1.002
q_ind_20_pop_4,1779.62,1.000
q_ind_21_pop_4,1906.18,1.001
q_ind_22_pop_4,1540.92,1.001
q_ind_23_pop_4,2878.64,1.001
q_ind_24_pop_4,930.50,1.009
q_ind_25_pop_4,1099.58,1.005
q_ind_26_pop_4,1073.79,1.002
q_ind_27_pop_4,2341.52,1.000
q_ind_28_pop_4,288.68,1.011
q_ind_29_pop_4,927.06,1.002
q_ind_30_pop_4,1681.44,1.002
q_ind_31_pop_4,1306.84,1.000
q_ind_32_pop_4,1404.56,1.000
q_ind_33_pop_4,2050.38,1.001
q_ind_34_pop_4,623.08,1.001
q_ind_35_pop_4,1911.49,1.000
q_ind_36_pop_4,353.05,1.011
q_ind_37_pop_4,808.31,1.007
q_ind_38_pop_4,126.07,1.010
q_ind_39_pop_4,172.20,1.017
q_ind_40_pop_4,6590.96,1.001
q_ind_41_pop_4,4460.88,1.001
q_ind_42_pop_4,5390.80,1.000
q_ind_43_pop_4,1348.96,1.002
q_ind_44_pop_4,855.68,1.000
q_ind_45_pop_4,93.41,1.002
q_ind_46_pop_4,961.23,1.006
q_ind_47_pop_4,1895.15,1.002
q_ind_48_pop_4,1057.43,1.006
q_ind_49_pop_4,1498.67,1.004
q_ind_50_pop_4,1090.76,1.001
q_ind_51_pop_4,1524.58,1.000
q_ind_52_pop_4,1793.25,1.001
q_ind_53_pop_4,1334.83,1.001
q_ind_54_pop_4,2325.07,1.001
q_ind_55_pop_4,126.26,1.021
q_ind_56_pop_4,9911.79,1.000
q_ind_57_pop_4,7270.03,1.000
q_ind_58_pop_4,11243.19,1.000
q_ind_59_pop_4,189.22,1.000
q_ind_60_pop_4,10119.75,1.000
q_ind_61_pop_4,3929.09,1.001
q_ind_62_pop_4,12994.81,1.000
q_ind_63_pop_4,3423.07,1.001
q_ind_64_pop_4,5795.74,1.000
q_ind_65_pop_4,180.54,1.002
q_ind_66_pop_4,7531.45,1.000
q_ind_67_pop_4,3519.90,1.001
q_ind_68_pop_4,6414.89,1.000
q_ind_69_pop_4,151.98,1.011
q_ind_70_pop_4,7540.14,1.000
q_ind_71_pop_4,3162.11,1.000
